order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full,customer_name,city,currency,product_name,category,price_INR,price_USD,on_time,in_full,otif,ontime_target%,infull_target%,otif_target%
FMR34721502,2025-03-01,789721,25891302,63,2025-03-04,2025-03-05,60,0,0,0,Logic Stores,Ahmedabad,INR,AM Ghee 150,Dairy,135,4.0,0,0,0,89,75,67
FMR33621302,2025-03-01,789621,25891302,56,2025-03-03,2025-03-04,56,1,0,0,Expert Mart,Ahmedabad,INR,AM Ghee 150,Dairy,135,4.0,0,1,0,92,81,75
FMR32520302,2025-03-01,789520,25891302,54,2025-03-02,2025-03-03,49,0,0,0,Fairway Market,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,0,0,0,75,68,51
FMR33520601,2025-03-01,789520,25891302,42,2025-03-03,2025-03-05,34,0,0,0,Fairway Market,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,0,0,0,75,68,51
FMR34520302,2025-03-01,789520,25891302,23,2025-03-04,2025-03-05,22,0,0,0,Fairway Market,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,0,0,0,75,68,51
FMR32420602,2025-03-01,789420,25891302,49,2025-03-02,2025-03-04,49,1,0,0,Lidl,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,0,0,0,75,79,59
FMR32902402,2025-03-01,789902,25891302,70,2025-03-02,2025-03-02,70,1,1,1,Elite Mart,Ahmedabad,INR,AM Ghee 150,Dairy,135,4.0,1,1,1,90,81,73
FMR32521302,2025-03-01,789521,25891302,34,2025-03-02,2025-03-03,34,1,0,0,Acclaimed Stores,Ahmedabad,INR,AM Ghee 150,Dairy,135,4.0,0,1,0,78,79,62
FMR32720302,2025-03-01,789720,25891302,49,2025-03-02,2025-03-02,49,1,1,1,Colonial Farms,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,1,1,1,86,77,66
FMR33401603,2025-03-01,789401,25891302,40,2025-03-03,2025-03-03,40,1,1,1,Wegmans,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,1,0,0,85,79,67
FMR33121302,2025-03-01,789121,25891302,26,2025-03-03,2025-03-03,26,1,1,1,Coolblue,Ahmedabad,INR,AM Ghee 150,Dairy,135,4.0,1,1,1,78,77,60
FMR32903403,2025-03-01,789903,25891302,42,2025-03-02,2025-03-02,40,0,1,0,Elite Mart,Vadodara,INR,AM Ghee 150,Dairy,135,4.0,1,0,0,92,65,60
FMR32422302,2025-03-01,789422,25891302,67,2025-03-02,2025-03-05,54,0,0,0,Lotus Mart,Vadodara,INR,AM Ghee 150,Dairy,135,4.0,0,0,0,79,81,64
FMR32301302,2025-03-01,789301,25891302,29,2025-03-02,2025-03-05,29,1,0,0,Foodtown,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,0,1,0,89,78,69
FMR33721603,2025-03-01,789721,25891301,59,2025-03-03,2025-03-03,59,1,1,1,Logic Stores,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,1,1,1,89,75,67
FMR32420403,2025-03-01,789420,25891301,87,2025-03-02,2025-03-02,87,1,1,1,Lidl,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,1,0,0,75,79,59
FMR33420301,2025-03-01,789420,25891301,23,2025-03-03,2025-03-05,18,0,0,0,Lidl,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,0,0,0,75,79,59
FMR33320501,2025-03-01,789320,25891301,46,2025-03-03,2025-03-03,46,1,1,1,Whole Foods Market,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,1,0,0,91,81,74
FMR33122301,2025-03-01,789122,25891301,29,2025-03-03,2025-03-05,26,0,0,0,Coolblue,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,0,0,0,76,65,49
FMR34101301,2025-03-01,789101,25891301,76,2025-03-04,2025-03-04,76,1,1,1,Costco Wholesale,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,1,1,1,86,80,69
FMR33421301,2025-03-01,789421,25891301,75,2025-03-03,2025-03-05,67,0,0,0,Lotus Mart,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,0,0,0,78,66,51
FMR34421301,2025-03-01,789421,25891301,47,2025-03-04,2025-03-04,45,0,1,0,Lotus Mart,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,1,0,0,78,66,51
FMR34103403,2025-03-01,789103,25891301,71,2025-03-04,2025-03-04,67,0,1,0,Vijay Stores,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,1,0,0,92,67,62
FMR32121301,2025-03-01,789121,25891301,72,2025-03-02,2025-03-03,65,0,0,0,Coolblue,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,0,0,0,78,77,60
FMR34203601,2025-03-01,789203,25891301,100,2025-03-04,2025-03-04,100,1,1,1,Rel Fresh,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,1,1,1,92,76,70
FMR33402303,2025-03-01,789402,25891301,94,2025-03-03,2025-03-03,94,1,1,1,Propel Mart,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,1,1,1,89,80,71
FMR34221301,2025-03-01,789221,25891301,44,2025-03-04,2025-03-04,44,1,1,1,Atlas Stores,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,1,1,1,85,80,68
FMR34202301,2025-03-01,789202,25891301,45,2025-03-04,2025-03-04,45,1,1,1,Rel Fresh,Ahmedabad,INR,AM Ghee 250,Dairy,225,6.0,1,1,1,85,81,69
FMR32522301,2025-03-01,789522,25891301,46,2025-03-02,2025-03-03,46,1,0,0,Acclaimed Stores,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,0,1,0,76,79,60
FMR34522403,2025-03-01,789522,25891301,47,2025-03-04,2025-03-05,38,0,0,0,Acclaimed Stores,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,0,0,0,76,79,60
FMR34520301,2025-03-01,789520,25891301,38,2025-03-04,2025-03-04,34,0,1,0,Fairway Market,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,1,0,0,75,68,51
FMR33301301,2025-03-01,789301,25891301,92,2025-03-03,2025-03-03,83,0,1,0,Foodtown,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,1,0,0,89,78,69
FMR34303602,2025-03-01,789303,25891301,44,2025-03-04,2025-03-04,40,0,1,0,Expression Stores,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,1,0,0,88,78,69
FMR33220603,2025-03-01,789220,25891301,75,2025-03-03,2025-03-03,75,1,1,1,ShopRite,"New Jersey, US",USD,AM Ghee 250,Dairy,225,6.0,1,0,0,91,76,69
FMR32422301,2025-03-01,789422,25891301,63,2025-03-02,2025-03-02,63,1,1,1,Lotus Mart,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,1,1,1,79,81,64
FMR33422301,2025-03-01,789422,25891301,63,2025-03-03,2025-03-05,60,0,0,0,Lotus Mart,Vadodara,INR,AM Ghee 250,Dairy,225,6.0,0,0,0,79,81,64
FMR34303602,2025-03-01,789303,25891102,352,2025-03-04,2025-03-04,317,0,1,0,Expression Stores,Vadodara,INR,AM Milk 250,Dairy,62,2.0,1,0,0,88,78,69
FMR34401102,2025-03-01,789401,25891102,369,2025-03-04,2025-03-03,369,1,1,1,Wegmans,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,1,1,1,85,79,67
FMR34520302,2025-03-01,789520,25891102,373,2025-03-04,2025-03-05,336,0,0,0,Fairway Market,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,0,0,0,75,68,51
FMR32121102,2025-03-01,789121,25891102,397,2025-03-02,2025-03-01,377,0,1,0,Coolblue,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,1,0,0,78,77,60
FMR33902203,2025-03-01,789902,25891102,494,2025-03-03,2025-03-03,395,0,1,0,Elite Mart,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,1,0,0,90,81,73
FMR34902102,2025-03-01,789902,25891102,465,2025-03-04,2025-03-05,465,1,0,0,Elite Mart,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,0,1,0,90,81,73
FMR32503401,2025-03-01,789503,25891102,459,2025-03-02,2025-03-02,367,0,1,0,Viveks Stores,Vadodara,INR,AM Milk 250,Dairy,62,2.0,1,0,0,86,82,71
FMR32720302,2025-03-01,789720,25891102,402,2025-03-02,2025-03-02,402,1,1,1,Colonial Farms,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,1,1,1,86,77,66
FMR33720202,2025-03-01,789720,25891102,483,2025-03-03,2025-03-03,483,1,1,1,Colonial Farms,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,1,1,1,86,77,66
FMR34321602,2025-03-01,789321,25891102,368,2025-03-04,2025-03-04,331,0,1,0,Chiptec Stores,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,1,0,0,87,81,70
FMR32103503,2025-03-01,789103,25891102,307,2025-03-02,2025-03-02,246,0,1,0,Vijay Stores,Vadodara,INR,AM Milk 250,Dairy,62,2.0,1,0,0,92,67,62
FMR32421102,2025-03-01,789421,25891102,309,2025-03-02,2025-03-04,278,0,0,0,Lotus Mart,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,0,0,0,78,66,51
FMR34421301,2025-03-01,789421,25891102,412,2025-03-04,2025-03-04,391,0,1,0,Lotus Mart,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,1,0,0,78,66,51
FMR34320102,2025-03-01,789320,25891102,432,2025-03-04,2025-03-05,432,1,0,0,Whole Foods Market,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,0,1,0,91,81,74
FMR32420102,2025-03-01,789420,25891102,310,2025-03-02,2025-03-05,310,1,0,0,Lidl,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,0,1,0,75,79,59
FMR32702601,2025-03-01,789702,25891102,478,2025-03-02,2025-03-02,454,0,1,0,Sorefoz Mart,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,1,0,0,89,66,59
FMR34220601,2025-03-01,789220,25891102,473,2025-03-04,2025-03-04,473,1,1,1,ShopRite,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,1,1,1,91,76,69
FMR34201202,2025-03-01,789201,25891102,372,2025-03-04,2025-03-04,353,0,1,0,Rel Fresh,"New Jersey, US",USD,AM Milk 250,Dairy,62,2.0,1,0,0,87,81,70
FMR32102102,2025-03-01,789102,25891102,496,2025-03-02,2025-03-01,496,1,1,1,Vijay Stores,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,1,1,1,90,81,73
FMR34122102,2025-03-01,789122,25891102,443,2025-03-04,2025-03-06,399,0,0,0,Coolblue,Vadodara,INR,AM Milk 250,Dairy,62,2.0,0,0,0,76,65,49
FMR33621102,2025-03-01,789621,25891102,480,2025-03-03,2025-03-06,480,1,0,0,Expert Mart,Ahmedabad,INR,AM Milk 250,Dairy,62,2.0,0,1,0,92,81,75
FMR32622502,2025-03-01,789622,25891502,153,2025-03-02,2025-03-02,138,0,1,0,Expert Mart,Vadodara,INR,AM Biscuits 500,Food,200,6.0,1,0,0,90,79,71
FMR33622502,2025-03-01,789622,25891502,132,2025-03-03,2025-03-03,132,1,1,1,Expert Mart,Vadodara,INR,AM Biscuits 500,Food,200,6.0,1,1,1,90,79,71
FMR32420602,2025-03-01,789420,25891502,165,2025-03-02,2025-03-04,157,0,0,0,Lidl,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,0,0,0,75,79,59
FMR32201502,2025-03-01,789201,25891502,160,2025-03-02,2025-03-02,160,1,1,1,Rel Fresh,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,1,1,1,87,81,70
FMR33220603,2025-03-01,789220,25891502,211,2025-03-03,2025-03-03,211,1,1,1,ShopRite,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,1,0,0,91,76,69
FMR33202502,2025-03-01,789202,25891502,141,2025-03-03,2025-03-03,134,0,1,0,Rel Fresh,Ahmedabad,INR,AM Biscuits 500,Food,200,6.0,1,0,0,85,81,69
FMR33520502,2025-03-01,789520,25891502,173,2025-03-03,2025-03-06,173,1,0,0,Fairway Market,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,0,0,0,75,68,51
FMR34520503,2025-03-01,789520,25891502,143,2025-03-04,2025-03-07,129,0,0,0,Fairway Market,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,0,0,0,75,68,51
FMR33503502,2025-03-01,789503,25891502,238,2025-03-03,2025-03-03,238,1,1,1,Viveks Stores,Vadodara,INR,AM Biscuits 500,Food,200,6.0,1,0,0,86,82,71
FMR34503502,2025-03-01,789503,25891502,231,2025-03-04,2025-03-03,231,1,1,1,Viveks Stores,Vadodara,INR,AM Biscuits 500,Food,200,6.0,1,1,1,86,82,71
FMR33401603,2025-03-01,789401,25891502,140,2025-03-03,2025-03-03,133,0,1,0,Wegmans,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,1,0,0,85,79,67
FMR34401503,2025-03-01,789401,25891502,200,2025-03-04,2025-03-04,200,1,1,1,Wegmans,"New Jersey, US",USD,AM Biscuits 500,Food,200,6.0,1,1,1,85,79,67
FMR34721502,2025-03-01,789721,25891502,123,2025-03-04,2025-03-05,98,0,0,0,Logic Stores,Ahmedabad,INR,AM Biscuits 500,Food,200,6.0,0,0,0,89,75,67
FMR34702502,2025-03-01,789702,25891502,239,2025-03-04,2025-03-04,215,0,1,0,Sorefoz Mart,Ahmedabad,INR,AM Biscuits 500,Food,200,6.0,1,0,0,89,66,59
FMR33521502,2025-03-01,789521,25891502,167,2025-03-03,2025-03-05,167,1,0,0,Acclaimed Stores,Ahmedabad,INR,AM Biscuits 500,Food,200,6.0,0,1,0,78,79,62
FMR33520502,2025-03-01,789520,25891403,359,2025-03-03,2025-03-06,341,0,0,0,Fairway Market,"New Jersey, US",USD,AM Curd 50,Dairy,10,1.0,0,0,0,75,68,51
FMR33320501,2025-03-01,789320,25891403,239,2025-03-03,2025-03-03,239,1,1,1,Whole Foods Market,"New Jersey, US",USD,AM Curd 50,Dairy,10,1.0,1,0,0,91,81,74
FMR34422403,2025-03-01,789422,25891403,265,2025-03-04,2025-03-06,252,0,0,0,Lotus Mart,Vadodara,INR,AM Curd 50,Dairy,10,1.0,0,0,0,79,81,64
FMR32903403,2025-03-01,789903,25891403,244,2025-03-02,2025-03-02,220,0,1,0,Elite Mart,Vadodara,INR,AM Curd 50,Dairy,10,1.0,1,0,0,92,65,60
FMR32420403,2025-03-01,789420,25891403,397,2025-03-02,2025-03-02,318,0,1,0,Lidl,"New Jersey, US",USD,AM Curd 50,Dairy,10,1.0,1,0,0,75,79,59
FMR33101403,2025-03-01,789101,25891403,315,2025-03-03,2025-03-03,283,0,1,0,Costco Wholesale,"New Jersey, US",USD,AM Curd 50,Dairy,10,1.0,1,0,0,86,80,69
FMR32202603,2025-03-01,789202,25891403,440,2025-03-02,2025-03-02,440,1,1,1,Rel Fresh,Ahmedabad,INR,AM Curd 50,Dairy,10,1.0,1,0,0,85,81,69
FMR34303602,2025-03-01,789303,25891403,427,2025-03-04,2025-03-04,406,0,1,0,Expression Stores,Vadodara,INR,AM Curd 50,Dairy,10,1.0,1,0,0,88,78,69
FMR32121403,2025-03-01,789121,25891403,441,2025-03-02,2025-03-02,441,1,1,1,Coolblue,Ahmedabad,INR,AM Curd 50,Dairy,10,1.0,1,1,1,78,77,60
FMR34522403,2025-03-01,789522,25891403,320,2025-03-04,2025-03-05,320,1,0,0,Acclaimed Stores,Vadodara,INR,AM Curd 50,Dairy,10,1.0,0,0,0,76,79,60
FMR34103403,2025-03-01,789103,25891403,467,2025-03-04,2025-03-04,420,0,1,0,Vijay Stores,Vadodara,INR,AM Curd 50,Dairy,10,1.0,1,0,0,92,67,62
FMR32220503,2025-03-01,789220,25891403,465,2025-03-02,2025-03-02,372,0,1,0,ShopRite,"New Jersey, US",USD,AM Curd 50,Dairy,10,1.0,1,0,0,91,76,69
FMR32622503,2025-03-01,789622,25891503,208,2025-03-02,2025-03-01,198,0,1,0,Expert Mart,Vadodara,INR,AM Biscuits 250,Food,100,3.0,1,0,0,90,79,71
FMR34622602,2025-03-01,789622,25891503,241,2025-03-04,2025-03-04,241,1,1,1,Expert Mart,Vadodara,INR,AM Biscuits 250,Food,100,3.0,1,0,0,90,79,71
FMR33720503,2025-03-01,789720,25891503,146,2025-03-03,2025-03-04,146,1,0,0,Colonial Farms,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,0,1,0,86,77,66
FMR32220503,2025-03-01,789220,25891503,115,2025-03-02,2025-03-02,103,0,1,0,ShopRite,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,1,0,0,91,76,69
FMR33220603,2025-03-01,789220,25891503,239,2025-03-03,2025-03-03,239,1,1,1,ShopRite,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,1,0,0,91,76,69
FMR34321602,2025-03-01,789321,25891503,246,2025-03-04,2025-03-04,246,1,1,1,Chiptec Stores,Ahmedabad,INR,AM Biscuits 250,Food,100,3.0,1,0,0,87,81,70
FMR32221603,2025-03-01,789221,25891503,158,2025-03-02,2025-03-02,158,1,1,1,Atlas Stores,Ahmedabad,INR,AM Biscuits 250,Food,100,3.0,1,0,0,85,80,68
FMR33221503,2025-03-01,789221,25891503,106,2025-03-03,2025-03-03,101,0,1,0,Atlas Stores,Ahmedabad,INR,AM Biscuits 250,Food,100,3.0,1,0,0,85,80,68
FMR32103503,2025-03-01,789103,25891503,126,2025-03-02,2025-03-02,120,0,1,0,Vijay Stores,Vadodara,INR,AM Biscuits 250,Food,100,3.0,1,0,0,92,67,62
FMR33401603,2025-03-01,789401,25891503,161,2025-03-03,2025-03-03,145,0,1,0,Wegmans,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,1,0,0,85,79,67
FMR34401503,2025-03-01,789401,25891503,192,2025-03-04,2025-03-04,192,1,1,1,Wegmans,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,1,1,1,85,79,67
FMR34721503,2025-03-01,789721,25891503,144,2025-03-04,2025-03-04,137,0,1,0,Logic Stores,Ahmedabad,INR,AM Biscuits 250,Food,100,3.0,1,0,0,89,75,67
FMR33320503,2025-03-01,789320,25891503,140,2025-03-03,2025-03-06,140,1,0,0,Whole Foods Market,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,0,1,0,91,81,74
FMR34520503,2025-03-01,789520,25891503,233,2025-03-04,2025-03-07,221,0,0,0,Fairway Market,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,0,0,0,75,68,51
FMR32101601,2025-03-01,789101,25891503,183,2025-03-02,2025-03-02,183,1,1,1,Costco Wholesale,"New Jersey, US",USD,AM Biscuits 250,Food,100,3.0,1,1,1,86,80,69
FMR32422503,2025-03-01,789422,25891503,138,2025-03-02,2025-03-03,110,0,0,0,Lotus Mart,Vadodara,INR,AM Biscuits 250,Food,100,3.0,0,0,0,79,81,64
FMR34603302,2025-03-01,789603,25891103,378,2025-03-04,2025-03-04,378,1,1,1,Info Stores,Vadodara,INR,AM Milk 100,Dairy,25,1.0,1,1,1,92,75,69
FMR34702602,2025-03-01,789702,25891103,480,2025-03-04,2025-03-03,432,0,1,0,Sorefoz Mart,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,1,0,0,89,66,59
FMR32601103,2025-03-01,789601,25891103,310,2025-03-02,2025-03-02,294,0,1,0,Price Rite,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,1,0,0,92,67,62
FMR34601402,2025-03-01,789601,25891103,388,2025-03-04,2025-03-04,310,0,1,0,Price Rite,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,1,0,0,92,67,62
FMR33303501,2025-03-01,789303,25891103,335,2025-03-03,2025-03-03,335,1,1,1,Expression Stores,Vadodara,INR,AM Milk 100,Dairy,25,1.0,1,1,1,88,78,69
FMR32621103,2025-03-01,789621,25891103,431,2025-03-02,2025-03-02,431,1,1,1,Expert Mart,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,1,1,1,92,81,75
FMR34621103,2025-03-01,789621,25891103,357,2025-03-04,2025-03-04,339,0,1,0,Expert Mart,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,1,0,0,92,81,75
FMR32501601,2025-03-01,789501,25891103,318,2025-03-02,2025-03-02,318,1,1,1,Best Market,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,1,0,0,92,80,74
FMR33501401,2025-03-01,789501,25891103,400,2025-03-03,2025-03-03,400,1,1,1,Best Market,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,1,0,0,92,80,74
FMR34501203,2025-03-01,789501,25891103,327,2025-03-04,2025-03-04,327,1,1,1,Best Market,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,1,1,1,92,80,74
FMR34402202,2025-03-01,789402,25891103,340,2025-03-04,2025-03-04,272,0,1,0,Propel Mart,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,1,0,0,89,80,71
FMR32221603,2025-03-01,789221,25891103,430,2025-03-02,2025-03-02,430,1,1,1,Atlas Stores,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,1,0,0,85,80,68
FMR33522103,2025-03-01,789522,25891103,384,2025-03-03,2025-03-04,384,1,0,0,Acclaimed Stores,Vadodara,INR,AM Milk 100,Dairy,25,1.0,0,1,0,76,79,60
FMR33503502,2025-03-01,789503,25891103,325,2025-03-03,2025-03-03,309,0,1,0,Viveks Stores,Vadodara,INR,AM Milk 100,Dairy,25,1.0,1,0,0,86,82,71
FMR33122301,2025-03-01,789122,25891103,403,2025-03-03,2025-03-05,403,1,0,0,Coolblue,Vadodara,INR,AM Milk 100,Dairy,25,1.0,0,0,0,76,65,49
FMR34122103,2025-03-01,789122,25891103,458,2025-03-04,2025-03-03,458,1,1,1,Coolblue,Vadodara,INR,AM Milk 100,Dairy,25,1.0,1,1,1,76,65,49
FMR32401103,2025-03-01,789401,25891103,476,2025-03-02,2025-03-02,476,1,1,1,Wegmans,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,1,1,1,85,79,67
FMR34301103,2025-03-01,789301,25891103,351,2025-03-04,2025-03-06,351,1,0,0,Foodtown,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,0,1,0,89,78,69
FMR34902103,2025-03-01,789902,25891103,456,2025-03-04,2025-03-06,410,0,0,0,Elite Mart,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,0,0,0,90,81,73
FMR32202603,2025-03-01,789202,25891103,389,2025-03-02,2025-03-02,370,0,1,0,Rel Fresh,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,1,0,0,85,81,69
FMR34721103,2025-03-01,789721,25891103,468,2025-03-04,2025-03-06,468,1,0,0,Logic Stores,Ahmedabad,INR,AM Milk 100,Dairy,25,1.0,0,1,0,89,75,67
FMR33420203,2025-03-01,789420,25891103,357,2025-03-03,2025-03-06,357,1,0,0,Lidl,"New Jersey, US",USD,AM Milk 100,Dairy,25,1.0,0,1,0,75,79,59
